city,year,treat,batch,first_treat_year
上海市,2016,1,2,2016
上海市,2017,1,2,2016
上海市,2018,1,2,2016
上海市,2019,1,2,2016
上海市,2020,1,2,2016
上海市,2021,1,2,2016
上海市,2022,1,2,2016
上海市,2023,1,2,2016
上饶市,1990,0,0,0
上饶市,1991,0,0,0
上饶市,1992,0,0,0
上饶市,1993,0,0,0
上饶市,1994,0,0,0
上饶市,1995,0,0,0
上饶市,1996,0,0,0
上饶市,1997,0,0,0
上饶市,1998,0,0,0
上饶市,1999,0,0,0
上饶市,2000,0,0,0
上饶市,2001,0,0,0
上饶市,2002,0,0,0
上饶市,2003,0,0,0
上饶市,2004,0,0,0
上饶市,2005,0,0,0
上饶市,2006,0,0,0
上饶市,2007,0,0,0
上饶市,2008,0,0,0
上饶市,2009,0,0,0
上饶市,2010,0,0,0
上饶市,2011,0,0,0
上饶市,2012,0,0,0
上饶市,2013,0,0,0
上饶市,2014,0,0,0
上饶市,2015,0,0,0
上饶市,2016,0,0,0
上饶市,2017,0,0,0
上饶市,2018,0,0,0
上饶市,2019,0,0,0
上饶市,2020,0,0,0
上饶市,2021,0,0,0
上饶市,2022,0,0,0
上饶市,2023,0,0,0
东莞市,1990,0,0,0
东莞市,1991,0,0,0
东莞市,1992,0,0,0
东莞市,1993,0,0,0
东莞市,1994,0,0,0
东莞市,1995,0,0,0
东莞市,1996,0,0,0
东莞市,1997,0,0,0
东莞市,1998,0,0,0
东莞市,1999,0,0,0
东莞市,2000,0,0,0
东莞市,2001,0,0,0
东莞市,2002,0,0,0
东莞市,2003,0,0,0
东莞市,2004,0,0,0
东莞市,2005,0,0,0
东莞市,2006,0,0,0
东莞市,2007,0,0,0
东莞市,2008,0,0,0
东莞市,2009,0,0,0
东莞市,2010,0,0,0
东莞市,2011,0,0,0
东莞市,2012,0,0,0
东莞市,2013,0,0,0
东莞市,2014,0,0,0
东莞市,2015,0,0,0
东莞市,2016,0,0,0
东莞市,2017,0,0,0
东莞市,2018,0,0,0
东莞市,2019,0,0,0
东莞市,2020,0,0,0
东莞市,2021,0,0,0
东莞市,2022,0,0,0
东莞市,2023,0,0,0
东营市,1990,0,0,0
东营市,1991,0,0,0
东营市,1992,0,0,0
东营市,1993,0,0,0
东营市,1994,0,0,0
东营市,1995,0,0,0
东营市,1996,0,0,0
东营市,1997,0,0,0
东营市,1998,0,0,0
东营市,1999,0,0,0
东营市,2000,0,0,0
东营市,2001,0,0,0
东营市,2002,0,0,0
东营市,2003,0,0,0
东营市,2004,0,0,0
东营市,2005,0,0,0
东营市,2006,0,0,0
东营市,2007,0,0,0
东营市,2008,0,0,0
东营市,2009,0,0,0
东营市,2010,0,0,0
东营市,2011,0,0,0
东营市,2012,0,0,0
东营市,2013,0,0,0
东营市,2014,0,0,0
东营市,2015,0,0,0
东营市,2016,0,0,0
东营市,2017,0,0,0
东营市,2018,0,0,0
东营市,2019,0,0,0
东营市,2020,0,0,0
