Year,Month,News_Based_Policy_Uncert_Index
2015,5,102.3187
2015,6,115.88029
2015,7,98.734793
2015,8,156.50363
2015,9,171.93268
2015,10,110.70194
2015,11,89.58371
2015,12,101.96343
2016,1,154.85733
2016,2,148.32179
2016,3,130.49016
2016,4,96.413416
2016,5,96.222333
2016,6,233.9561
2016,7,164.4584
2016,8,106.88562
2016,9,86.343538
2016,10,108.06412
2016,11,254.10133
2016,12,161.42479
2017,1,195.04063
2017,2,177.77772
2017,3,154.6097
2017,4,157.67652
2017,5,129.88806
2017,6,120.63846
2017,7,141.13833
2017,8,137.8597
2017,9,116.62002
2017,10,125.86584
2017,11,111.28269
2017,12,140.35018
2018,1,160.9672
2018,2,114.75556
2018,3,187.09589
2018,4,139.03539
2018,5,162.2767
2018,6,134.40277
2018,7,176.20508
2018,8,114.96137
2018,9,120.98519
2018,10,136.11465
2018,11,164.9422
2018,12,226.57689
2019,1,284.13594
2019,2,123.63929
2019,3,180.6317
2019,4,109.68637
2019,5,160.85815
2019,6,207.99137
2019,7,207.74546
2019,8,282.52293
2019,9,186.6407
2019,10,159.51139
2019,11,170.48034
2019,12,190.50493
2020,1,164.75531
2020,2,216.19121
2020,3,425.77917
2020,4,400.94474
2020,5,503.96334
2020,6,300.24017
2020,7,427.91537
2020,8,263.47143
2020,9,252.58784
2020,10,305.76663
2020,11,327.6096
2020,12,326.61663
2021,1,261.30613
2021,2,187.51962
2021,3,166.78553
2021,4,141.30017
2021,5,172.09621
2021,6,149.13127
2021,7,182.17141
2021,8,157.19521
2021,9,171.30045
2021,10,136.92024
2021,11,175.87288
2021,12,201.43367
2022,1,155.27966
2022,2,140.4425
2022,3,229.24474
2022,4,168.82775
2022,5,190.45302
2022,6,152.81057
2022,7,222.78994
2022,8,183.03483
2022,9,201.73849
2022,10,207.27533
2022,11,210.37489
2022,12,150.03712
2023,1,161.42711
2023,2,152.96728
2023,3,200.48994
2023,4,165.41756
2023,5,205.17646
2023,6,179.30804
2023,7,132.71063
2023,8,76.844224
2023,9,117.69878
2023,10,133.59407
2023,11,140.6772
2023,12,107.00158
2024,1,131.27368
2024,2,106.51287
2024,3,116.7115
2024,4,139.41202
2024,5,123.60752
2024,6,144.17842
2024,7,144.9368
2024,8,138.36643
2024,9,127.39912
2024,10,109.29089
2024,11,225.04903
2024,12,218.84548
2025,1,236.78707
2025,2,329.29079
2025,3,446.30316
2025,4,724.93609
2025,5,563.98421
2025,6,375.58531
2025,7,372.06267
2025,8,370.92543
2025,9,319.84104
2025,10,308.34041
2025,11,311.64985
2025,12,288.59499
2026,1,371.33496
2026,2,374.19179
2026,3,382.22243
