Year,Month,News_Based_Policy_Uncert_Index
1923,2,57.687669
1923,3,48.198087
1923,4,61.305184
1923,5,64.413824
1923,6,62.72443
1923,7,86.376956
1923,8,66.01487
1923,9,63.223585
1923,10,67.124317
1923,11,62.571902
1923,12,65.944354
1924,1,80.489553
1924,2,60.341968
1924,3,77.113225
1924,4,81.899338
1924,5,123.79964
1924,6,91.379623
1924,7,73.271207
1924,8,85.832275
1924,9,58.989266
1924,10,104.74447
1924,11,100.65839
1924,12,77.578857
1925,1,78.596208
1925,2,47.30826
1925,3,65.358207
1925,4,62.050572
1925,5,65.025457
1925,6,55.596173
1925,7,33.300534
1925,8,58.132349
1925,9,53.36881
1925,10,69.76168
1925,11,66.763229
1925,12,53.244679
1926,1,52.516219
1926,2,54.627222
1926,3,43.111695
1926,4,39.027741
1926,5,59.49649
1926,6,49.910173
1926,7,64.707257
1926,8,66.773949
1926,9,62.540919
1926,10,58.721141
1926,11,84.534878
1926,12,62.091616
1927,1,59.184535
1927,2,50.018694
1927,3,43.034838
1927,4,51.702917
1927,5,52.670052
1927,6,57.778773
1927,7,65.683053
1927,8,54.521168
1927,9,53.299421
1927,10,50.892725
1927,11,49.071592
1927,12,64.521441
1928,1,61.208531
1928,2,49.887643
1928,3,44.918908
1928,4,51.79482
1928,5,41.832087
1928,6,47.833568
1928,7,62.907815
1928,8,75.015402
1928,9,54.613539
1928,10,54.076303
1928,11,61.008884
1928,12,45.029963
1929,1,65.440383
1929,2,90.890506
1929,3,74.92435
1929,4,81.877038
1929,5,68.060655
1929,6,79.385077
1929,7,71.428477
1929,8,65.569182
1929,9,65.508002
1929,10,55.104367
1929,11,59.977153
1929,12,75.81005
1930,1,63.719703
1930,2,78.423216
1930,3,65.176718
1930,4,56.556492
1930,5,52.364491
1930,6,87.948175
1930,7,52.835909
1930,8,59.1083
1930,9,61.070212
1930,10,57.407134
1930,11,77.886907
1930,12,63.622502
1931,1,70.564411
1931,2,71.974292
1931,3,77.173235
1931,4,58.744782
1931,5,69.72014
1931,6,72.943161
1931,7,53.063812
1931,8,72.823097
1931,9,64.168443
1931,10,75.622464
1931,11,60.728001
1931,12,100.78182
1932,1,117.84519
1932,2,100.16491
1932,3,108.3066
1932,4,114.7701
1932,5,190.28506
1932,6,165.58563
1932,7,113.46255
1932,8,74.713797
1932,9,64.881737
1932,10,116.12869
1932,11,174.45634
1932,12,141.06623
1933,1,131.82769
1933,2,119.43471
1933,3,99.443825
1933,4,132.79526
1933,5,112.6013
1933,6,121.16544
1933,7,66.618249
1933,8,80.525707
1933,9,94.487759
1933,10,105.74115
1933,11,129.85967
1933,12,136.48771
1934,1,134.86522
1934,2,101.67915
1934,3,143.81594
1934,4,129.27528
1934,5,154.95524
1934,6,160.84019
1934,7,130.16631
1934,8,126.76835
1934,9,169.5688
1934,10,169.45938
